,contour number,aspect ratio,extent,Blue,Green,Red,Hue,class
0,21,0.8557643512481473,0.7792376280184472,60.04651615414558,98.60899182561307,121.06967691708836,12.571233943168549,0
1,115,0.9837726484024811,0.8012478482106261,66.15346534653466,84.13879721305464,122.35185185185185,54.953612027869454,0
2,43,0.9201333421913047,0.7835022213791242,49.03768680961664,87.06735975741823,116.55923760017328,11.64977257959714,0
3,29,0.9300537618869137,0.8053297891945645,50.62145274668055,92.04556105180943,109.56027076282219,15.496485290288987,0
4,18,0.8755603002740922,0.8058447752939246,60.24193548387097,98.50932459677419,123.17313508064517,12.315020161290322,0
5,34,0.8922107288198788,0.7989175036136467,51.06409246125558,92.97714736012608,110.17966903073287,15.5397951142632,0
6,35,0.9824561403508771,0.8081140350877193,34.866466616654165,52.07914478619655,75.43023255813954,76.57876969242311,0
7,28,0.4526236341136143,0.6016309196015122,51.51114922813036,107.33962264150944,115.51457975986278,12.662092624356776,0
8,84,0.9383104519234987,0.8215086577783505,60.12799690641918,73.98124516627998,106.65371229698376,79.11117556071153,0
9,32,1.0,0.8139427516158818,34.92002934702861,52.26485693323551,77.11592076302274,74.13573000733676,0
10,59,0.3884396983637892,0.6614484677629626,100.1418172690763,129.97289156626505,124.22766064257029,42.14106425702811,1
11,38,0.2532968456878179,0.7462751893743519,90.0936366633696,130.60006594131224,118.82492581602374,37.46422683811408,1
12,44,0.28154625318573645,0.9204396738764462,10.541284403669724,142.11009174311926,62.68807339449541,11.128440366972477,1
13,46,0.5,0.6794117647058824,113.50735294117646,202.0,137.90441176470588,29.029411764705884,1
14,46,0.2249081092080689,0.7103636126217929,34.74169741697417,86.64990774907749,97.23662361623616,15.677121771217712,1
15,25,0.5531256821317687,0.7185272900440337,33.55607278882776,93.3377063055438,107.08887008040627,16.62886161658908,2
16,47,0.5421686746987951,0.8240963855421687,72.4647577092511,128.33543108873505,143.14002517306483,17.09534298300818,2
17,77,0.6887188012569967,0.788465808118559,59.10429279031371,102.95886075949367,118.56824435883324,16.791827187671988,2
18,30,0.8661774848118265,0.7643529686899868,54.90549722050648,114.9444101297097,133.73100679431747,17.096664607782582,2
19,75,0.5435055431368414,0.8043410790844499,55.08910513260828,102.52241938561343,118.3827513833238,16.724861667620683,2
20,40,0.7244598465883143,0.7778398580561909,51.394713656387665,113.47077826725403,133.12041116005875,17.027900146842878,2
